contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	label
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19170
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19171
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19172
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19173
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19174
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19175
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19176
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19177
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19178
AP013472_AP013472	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_19179
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20080
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20081
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20082
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20083
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20084
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20085
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20086
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20087
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20088
AP014354_AP014354	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20089
AP014377_AP014377	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20711
AP014387_AP014387	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_20899
AP014502_AP014502	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_22083
AP013537_AP013537	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_22374
AP014007_AP014007G6	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_24559
AP014199_AP014199	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_25914
AP013766_AP013766G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_29772
AP013436_AP013436	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_34909
AP013437_AP013437	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_34968
AP014360_AP014360	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_37528
AP014444_AP014444G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_38414
AP014445_AP014445G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_38507
AP013773_AP013773G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_41442
AP013490_AP013490	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_43508
AP013770_AP013770G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_46530
AP014110_AP014110	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_47319
ENA_KY052798_KY052798	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_49825
023Pt_ssg01	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_50050
