contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	CDS
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0053
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0040
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0037
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0041
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full	37s	seasonal	40	37	55205	No	NA	85	22	0	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	525	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full_CDS_0072
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full	37s	seasonal	40	37	55205	No	NA	85	22	0	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	525	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full_CDS_0083
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full	37s	seasonal	40	37	55205	No	NA	85	22	0	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	525	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full_CDS_0060
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full	37s	seasonal	40	37	55205	No	NA	85	22	0	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	525	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55206bp__000089||full_CDS_0078
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__59167bp__000066||full	37s	seasonal	40	37	59064	No	NA	77	28	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	538	1210	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__59167bp__000066||full_CDS_0065
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__69215bp__000042||full	52s	seasonal	53	52	68067	No	NA	68	9	1	Medium-quality	Genome-fragment	60.81	HMM-based (lower-bound)	0	1.02	2411	NA	NA	NA	NA	NA	ND	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__69215bp__000042||full_CDS_0052
2019-Feb-viral-fraction__viral-spades-short__as-yet-unknown__31391bp__000027||full	15s	seasonal	88	15	31384	No	NA	25	11	0	Medium-quality	Genome-fragment	54.36	AAI-based (high-confidence)	0	1.01	655	657	NA	NA	NA	NA	Elizabethkingia	2019-Feb-viral-fraction__viral-spades-short__as-yet-unknown__31391bp__000027||full_CDS_0013
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__33480bp__000363||full	17s	seasonal	57	17	33066	No	NA	41	14	0	Medium-quality	Genome-fragment	89.26	AAI-based (high-confidence)	0	1	1450	NA	NA	NA	NA	NA	Agrobacterium	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__33480bp__000363||full_CDS_0020
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35884bp__000304||full	32s	seasonal	35	32	35880	No	NA	45	13	1	Medium-quality	Genome-fragment	65.84	AAI-based (high-confidence)	0	1	624	626	627	401	NA	NA	Caulobacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35884bp__000304||full_CDS_0022
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__42196bp__000191||full	34s	seasonal	5	34	42168	No	NA	67	18	1	Medium-quality	Genome-fragment	71.71	AAI-based (high-confidence)	0	1	1385	497	498	NA	NA	NA	Vibrio	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__42196bp__000191||full_CDS_0067
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full	19s	seasonal	1	19	45233	No	NA	66	23	0	Medium-quality	Genome-fragment	73.48	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full_CDS_0033
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full	19s	seasonal	1	19	45233	No	NA	66	23	0	Medium-quality	Genome-fragment	73.48	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full_CDS_0022
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full	19s	seasonal	1	19	45233	No	NA	66	23	0	Medium-quality	Genome-fragment	73.48	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full_CDS_0025
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0040
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0037
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0052
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0034
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__62420bp__000050||full	67s	seasonal	33	67	62417	No	NA	77	23	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	1007	1607	NA	NA	NA	NA	Caulobacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__62420bp__000050||full_CDS_0045
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__17184bp__000898||full	42s	seasonal	45	42	17184	No	NA	15	9	0	Medium-quality	Genome-fragment	53.77	AAI-based (medium-confidence)	0	1	741	NA	NA	NA	NA	NA	Nostoc	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__17184bp__000898||full_CDS_0009
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30417bp__000266||full	41s	seasonal	75	41	30416	No	NA	48	10	2	Medium-quality	Genome-fragment	51.59	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	ND	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30417bp__000266||full_CDS_0011
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full	89s	seasonal	92	89	31056	No	NA	39	12	0	Medium-quality	Genome-fragment	51.13	AAI-based (medium-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full_CDS_0008
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full	26s	seasonal	28	26	32494	No	NA	45	13	0	Medium-quality	Genome-fragment	50.33	AAI-based (high-confidence)	0	1	647	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full_CDS_0007
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full	26s	seasonal	28	26	32494	No	NA	45	13	0	Medium-quality	Genome-fragment	50.33	AAI-based (high-confidence)	0	1	647	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full_CDS_0006
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__35697bp__000168||full	82s	seasonal	85	82	35694	No	NA	52	18	0	Medium-quality	Genome-fragment	58.78	AAI-based (high-confidence)	0	1	1075	420	NA	NA	NA	NA	Methylocaldum	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__35697bp__000168||full_CDS_0031
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full	85s	seasonal	90	85	36914	No	NA	49	16	0	Medium-quality	Genome-fragment	58.48	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full_CDS_0013
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full	85s	seasonal	90	85	36914	No	NA	49	16	0	Medium-quality	Genome-fragment	58.48	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full_CDS_0029
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full	85s	seasonal	90	85	36914	No	NA	49	16	0	Medium-quality	Genome-fragment	58.48	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__37164bp__000152||full_CDS_0014
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40866bp__000125||full	15s	seasonal	41	15	40865	No	NA	67	24	0	Medium-quality	Genome-fragment	67.41	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40866bp__000125||full_CDS_0007
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__41484bp__000120||full	6s	seasonal	11	6	41481	No	NA	59	22	0	Medium-quality	Genome-fragment	69.19	AAI-based (high-confidence)	0	1	635	727	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__41484bp__000120||full_CDS_0005
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__41770bp__000118||full	50s	seasonal	52	50	41596	No	NA	48	14	0	Medium-quality	Genome-fragment	73	AAI-based (high-confidence)	0	1	655	659	657	660	NA	NA	ND	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__41770bp__000118||full_CDS_0003
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__46669bp__000089||full	31ns	non.seasonal	33	31	46525	No	NA	54	13	0	Medium-quality	Genome-fragment	80.75	AAI-based (high-confidence)	0	1	1257	NA	NA	NA	NA	NA	ND	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__46669bp__000089||full_CDS_0018
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__51221bp__000068||full	50s	seasonal	52	50	51217	No	NA	68	12	2	Medium-quality	Genome-fragment	75.35	AAI-based (high-confidence)	0	1	2784	NA	NA	NA	NA	NA	ND	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__51221bp__000068||full_CDS_0041
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full	43s	seasonal	73	43	56691	No	NA	85	30	0	High-quality	High-quality	94.13	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full_CDS_0034
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full	43s	seasonal	73	43	56691	No	NA	85	30	0	High-quality	High-quality	94.13	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full_CDS_0049
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full	43s	seasonal	73	43	56691	No	NA	85	30	0	High-quality	High-quality	94.13	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full_CDS_0033
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__20203bp__000570||full	6s	seasonal	14	6	20200	No	NA	20	12	0	Medium-quality	Genome-fragment	50.03	AAI-based (high-confidence)	0	1	1437	1441	NA	NA	NA	NA	Agrobacterium	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__20203bp__000570||full_CDS_0007
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full	95s	seasonal	24	95	36661	No	NA	54	15	0	Medium-quality	Genome-fragment	59.6	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Acidovorax	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full_CDS_0011
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full	95s	seasonal	24	95	36661	No	NA	54	15	0	Medium-quality	Genome-fragment	59.6	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Acidovorax	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full_CDS_0010
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__41731bp__000105||full	81s	seasonal	84	81	41729	No	NA	34	10	0	Medium-quality	Genome-fragment	71.76	AAI-based (medium-confidence)	0	1.01	655	657	660	NA	NA	NA	ND	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__41731bp__000105||full_CDS_0008
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__60442bp__000024||full	5ns	non.seasonal	5	5	60227	No	NA	64	17	0	High-quality	High-quality	97.51	AAI-based (medium-confidence)	0	1	NA	NA	NA	NA	NA	NA	Bradyrhizobium	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__60442bp__000024||full_CDS_0039
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__108176bp__000029||full	63s	seasonal	54	63	108174	No	NA	137	47	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	2	525	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__108176bp__000029||full_CDS_0021
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__108176bp__000029||full	63s	seasonal	54	63	108174	No	NA	137	47	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	2	525	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__108176bp__000029||full_CDS_0089
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__22909bp__000868||full	56s	seasonal	48	56	22906	No	NA	43	7	0	Medium-quality	Genome-fragment	59.69	AAI-based (high-confidence)	0	1	414	NA	NA	NA	NA	NA	Comamonas	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__22909bp__000868||full_CDS_0003
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__29196bp__000507||full	4s	seasonal	43	4	29147	No	NA	41	16	0	Medium-quality	Genome-fragment	85.55	AAI-based (high-confidence)	0	1.01	447	1138	NA	NA	NA	NA	ND	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__29196bp__000507||full_CDS_0025
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__31179bp__000438||full	62s	seasonal	57	62	31178	No	NA	55	20	1	Medium-quality	Genome-fragment	68.41	AAI-based (high-confidence)	0	1	1060	640	NA	NA	NA	NA	ND	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__31179bp__000438||full_CDS_0051
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full	17s	seasonal	14	17	38156	No	NA	57	19	1	Medium-quality	Genome-fragment	62.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full_CDS_0026
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full	17s	seasonal	14	17	38156	No	NA	57	19	1	Medium-quality	Genome-fragment	62.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full_CDS_0016
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full	10ns	non.seasonal	12	10	39017	No	NA	58	23	0	Medium-quality	Genome-fragment	63.76	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full_CDS_0034
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full	10ns	non.seasonal	12	10	39017	No	NA	58	23	0	Medium-quality	Genome-fragment	63.76	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full_CDS_0023
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full	10ns	non.seasonal	12	10	39017	No	NA	58	23	0	Medium-quality	Genome-fragment	63.76	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000265||full_CDS_0033
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__41750bp__000228||full	92s	seasonal	93	92	41747	No	NA	52	22	0	Medium-quality	Genome-fragment	67.02	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__41750bp__000228||full_CDS_0030
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__42770bp__000216||full	21s	seasonal	22	21	42511	No	NA	65	12	1	Medium-quality	Genome-fragment	52.2	AAI-based (high-confidence)	0	1	1470	NA	NA	NA	NA	NA	Synechococcus	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__42770bp__000216||full_CDS_0006
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full	1s	seasonal	17	1	46656	No	NA	67	20	0	Medium-quality	Genome-fragment	75.86	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full_CDS_0058
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full	1s	seasonal	17	1	46656	No	NA	67	20	0	Medium-quality	Genome-fragment	75.86	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full_CDS_0069
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full	1s	seasonal	17	1	46656	No	NA	67	20	0	Medium-quality	Genome-fragment	75.86	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full_CDS_0066
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full	85s	seasonal	66	85	47637	No	NA	70	22	0	Medium-quality	Genome-fragment	82.09	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full_CDS_0051
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full	85s	seasonal	66	85	47637	No	NA	70	22	0	Medium-quality	Genome-fragment	82.09	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full_CDS_0048
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full	53s	seasonal	33	53	62419	No	NA	85	26	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	635	631	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full_CDS_0029
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__21175bp__000496||full	48s	seasonal	50	48	21173	No	NA	17	11	0	Medium-quality	Genome-fragment	66.25	AAI-based (medium-confidence)	0	1	741	NA	NA	NA	NA	NA	Nostoc	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__21175bp__000496||full_CDS_0006
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__28690bp__000253||full	37ns	non.seasonal	40	37	27307	No	NA	34	13	0	Medium-quality	Genome-fragment	63.63	AAI-based (medium-confidence)	0	1	NA	NA	NA	NA	NA	NA	Pseudomonas	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__28690bp__000253||full_CDS_0024
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32133bp__000190||full	21s	seasonal	22	21	30798	No	NA	36	7	0	Medium-quality	Genome-fragment	67.79	AAI-based (medium-confidence)	0	1	2288	2287	NA	NA	NA	NA	Streptomyces	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32133bp__000190||full_CDS_0020
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32684bp__000184||full	29s	seasonal	30	29	32682	No	NA	36	16	0	Medium-quality	Genome-fragment	61.99	AAI-based (high-confidence)	0	1	1720	1575	NA	NA	NA	NA	ND	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32684bp__000184||full_CDS_0032
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__33215bp__000175||full	6s	seasonal	14	6	33214	No	NA	61	22	0	Medium-quality	Genome-fragment	78.23	AAI-based (medium-confidence)	0	1	650	645	NA	NA	NA	NA	Acidovorax	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__33215bp__000175||full_CDS_0034
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full	23s	seasonal	24	23	37813	No	NA	62	18	0	Medium-quality	Genome-fragment	69.61	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full_CDS_0017
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full	23s	seasonal	24	23	37813	No	NA	62	18	0	Medium-quality	Genome-fragment	69.61	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full_CDS_0037
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__56204bp__000040||full	35ns	non.seasonal	36	35	56203	No	NA	83	21	4	Medium-quality	Genome-fragment	56.69	AAI-based (high-confidence)	0	1.01	247	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__56204bp__000040||full_CDS_0062
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__27699bp__000463||full	91s	seasonal	39	91	27697	No	NA	59	20	0	Medium-quality	Genome-fragment	58.97	AAI-based (high-confidence)	0	1	640	1060	NA	NA	NA	NA	ND	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__27699bp__000463||full_CDS_0038
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full	34s	seasonal	94	34	31976	No	NA	41	16	0	Medium-quality	Genome-fragment	50.74	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full_CDS_0023
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full	34s	seasonal	94	34	31976	No	NA	41	16	0	Medium-quality	Genome-fragment	50.74	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full_CDS_0020
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full	34s	seasonal	94	34	31976	No	NA	41	16	0	Medium-quality	Genome-fragment	50.74	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full_CDS_0014
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full	37s	seasonal	40	37	34408	No	NA	58	17	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	ND	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full_CDS_0018
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full	37s	seasonal	40	37	34408	No	NA	58	17	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	ND	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full_CDS_0017
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full	37s	seasonal	40	37	34408	No	NA	58	17	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	ND	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34708bp__000281||full_CDS_0016
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__35868bp__000258||full	24s	seasonal	86	24	35865	No	NA	53	26	0	Medium-quality	Genome-fragment	65.96	AAI-based (high-confidence)	0	1	1539	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__35868bp__000258||full_CDS_0022
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__35876bp__000257||full	38s	seasonal	27	38	35873	No	NA	48	23	0	Medium-quality	Genome-fragment	68.02	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Pseudomonas	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__35876bp__000257||full_CDS_0010
