final_kluster	contig	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	RaFah_host_prediction	peaking	Closer_VC2	Accession_VC2	Status_VC2	VC_VC2	Level_VC2	Weight_VC2	Host_VC2	host_for_tree	BaltimoreGroup	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus
19ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__73636bp__000028||full	non.seasonal	26	19	65969	No	NA	77	21	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	Fusobacterium	winter	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__95797bp__000015||full	non.seasonal	26	19	95793	No	NA	98	6	6	Medium-quality	Genome-fragment	65.4	AAI-based (high-confidence)	0	1	Bacteroides	winter	n.a.	n.a.	Clustered	VC_1_2	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19ns	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__19867bp__000566||full	non.seasonal	24	19	19605	No	NA	27	7	0	Medium-quality	Genome-fragment	53.81	AAI-based (high-confidence)	0	1	Caulobacter	winter		MW805364	Clustered	VC_32_0	C20	14		other						n.a.	n.a.		n.a.
19ns	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__26103bp__000416||full	non.seasonal	21	19	26079	No	NA	44	16	0	Medium-quality	Genome-fragment	57.42	AAI-based (high-confidence)	0	1	Pseudomonas	winter	Roseobacter phage CRP-6	MK613348	Outlier	n.a.	N1	70	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	O	O
19ns	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36291bp__000168||full	non.seasonal	26	19	36288	No	NA	27	9	0	Medium-quality	Genome-fragment	62.4	AAI-based (medium-confidence)	0	1	Flavobacterium	winter	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19ns	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__40863bp__000126||full	non.seasonal	26	19	40860	No	NA	34	16	0	Medium-quality	Genome-fragment	66.45	AAI-based (medium-confidence)	0	1	Fusobacterium	winter	n.a.	n.a.	Clustered	VC_142_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19ns	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__142544bp__000004||full	non.seasonal	26	19	142544	No	NA	157	13	4	Medium-quality	Genome-fragment	89.15	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered/Singleton	VC_1_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19ns	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__29494bp__000173||full	non.seasonal	21	19	29336	No	NA	42	21	0	Medium-quality	Genome-fragment	80.53	AAI-based (medium-confidence)	0	1	ND	winter	Roseobacter phage CRP-6	MK613348	Clustered	VC_121_0	N15	6	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	O	O
19s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__22151bp__000879||full	seasonal	1	19	21298	No	NA	35	10	0	Medium-quality	Genome-fragment	57.94	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__35920bp__000309||full	seasonal	17	19	35890	No	NA	59	18	0	Complete	High-quality	100	DTR (high-confidence)	0	1	Bacteroides	autumn	n.a.	n.a.	Clustered	VC_127_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__14019bp__002031||full	seasonal	35	19	13871	No	NA	21	3	0	Medium-quality	Genome-fragment	55.49	AAI-based (medium-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Outlier	n.a.	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__24348bp__000714||full	seasonal	3	19	24291	No	NA	42	1	0	Medium-quality	Genome-fragment	76.79	AAI-based (medium-confidence)	0	1	Leptolyngbya	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__30604bp__000432||full	seasonal	31	19	30600	No	NA	36	6	0	Medium-quality	Genome-fragment	64.8	AAI-based (high-confidence)	0	1	Fusobacterium	autumn	n.a.	n.a.	Clustered	VC_65_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33337bp__000358||full	seasonal	1	19	33333	No	NA	47	16	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1.02	Candidatus Pelagibacter	autumn		OQ414635	Clustered	VC_64_0	N36	18		other						n.a.	n.a.	O	O
19s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__84588bp__000022||full	seasonal	17	19	84587	No	NA	76	8	1	Medium-quality	Genome-fragment	55.11	AAI-based (medium-confidence)	0	1	Thauera	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full	seasonal	1	19	45233	No	NA	66	23	0	Medium-quality	Genome-fragment	73.48	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn		MW574966	Clustered	VC_106_0	N4	33		other						n.a.	n.a.	O	O
19s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__46260bp__000146||full	seasonal	34	19	46257	No	NA	47	5	0	Medium-quality	Genome-fragment	53.69	AAI-based (medium-confidence)	0	1	Prevotella	autumn	n.a.	n.a.	Clustered	VC_182_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__54621bp__000088||full	seasonal	3	19	54619	No	NA	70	29	0	High-quality	High-quality	99.38	AAI-based (high-confidence)	0	1	ND	autumn	Puniceispirillum phage HMO-2011	GU557055	Clustered	VC_162_0	N7	39	Puniceispirillum	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
19s	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__19695bp__001168||full	seasonal	1	19	19694	No	NA	38	9	0	Medium-quality	Genome-fragment	52.4	AAI-based (high-confidence)	0	1	Agrobacterium	autumn	Pelagibacter phage HTVC106P	MN698244	Overlap (VC_61/VC_62)	n.a.	C15	16	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	O
19s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32073bp__000192||full	seasonal	17	19	32017	No	NA	48	12	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	Bacteroides	autumn	Nonlabens phage P12024L	JQ823123	Clustered	VC_47_0	N117	4	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
19s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__18696bp__000936||full	seasonal	34	19	18603	No	NA	18	2	0	Medium-quality	Genome-fragment	76.59	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_8_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
19s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__34103bp__000231||full	seasonal	34	19	34100	No	NA	41	14	0	High-quality	High-quality	99.25	AAI-based (medium-confidence)	0	1	Candidatus Pelagibacter	autumn	Pelagibacter phage HTVC028P	MW273921	Clustered	VC_37_0	C42	7	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
19s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33741bp__000267||full	seasonal	17	19	33406	No	NA	52	15	0	High-quality	High-quality	98	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_70_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__15095bp__001816||full	non.seasonal	1	1	15094	No	NA	28	4	0	Medium-quality	Genome-fragment	59.4	AAI-based (medium-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Clustered	VC_17_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__152932bp__000002||full	non.seasonal	1	1	152884	No	NA	136	14	5	Medium-quality	Genome-fragment	60.44	AAI-based (medium-confidence)	0	1	ND	autumn	uncultured phage	LR756508	Clustered/Singleton	VC_3_2	N39	4	Unspecified	other	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	O	O
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__22824bp__000830||full	non.seasonal	1	1	22821	No	NA	30	10	0	Medium-quality	Genome-fragment	70.52	AAI-based (high-confidence)	0	1	Bacteroides	autumn	Nonlabens phage P12024L	JQ823123	Clustered	VC_47_0	N99	8	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__23227bp__000811||full	non.seasonal	1	1	23107	No	NA	35	12	0	Medium-quality	Genome-fragment	59.59	AAI-based (medium-confidence)	0	1	Prevotella	autumn	n.a.	n.a.	Clustered	VC_132_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__27396bp__000584||full	non.seasonal	1	1	27343	No	NA	48	5	0	Medium-quality	Genome-fragment	77.55	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Outlier	n.a.	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__27777bp__000571||full	non.seasonal	1	1	27773	No	NA	34	13	0	Medium-quality	Genome-fragment	73.46	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31677bp__000423||full	non.seasonal	1	1	31675	No	NA	42	22	0	Medium-quality	Genome-fragment	70.44	AAI-based (high-confidence)	0	1	ND	autumn	Roseobacter phage CRP-6	MK613348	Clustered	VC_157_0	C2	80	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified	Unclassified
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__32474bp__000399||full	non.seasonal	1	1	32472	No	NA	50	28	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_25_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__33569bp__000363||full	non.seasonal	1	1	33502	No	NA	43	20	0	High-quality	High-quality	90.84	AAI-based (high-confidence)	0	1	ND	autumn		MW202701	Clustered	VC_29_0	N55	6		other						n.a.	n.a.	O	O
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__37845bp__000269||full	non.seasonal	1	1	37605	No	NA	40	17	0	High-quality	High-quality	93.17	AAI-based (high-confidence)	0	1	ND	autumn		AP013544	Clustered	VC_90_0	C1	89		other						n.a.	n.a.		n.a.
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__77859bp__000046||full	non.seasonal	1	1	77855	No	NA	120	46	1	Medium-quality	Genome-fragment	80.25	AAI-based (high-confidence)	0	1	Candidatus Thioglobus	autumn	Vibrio phage JSF10	KY883654	Clustered	VC_45_0	N7	10	Vibrio	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Demerecviridae	O	O
1ns	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__84964bp__000032||full	non.seasonal	1	1	84949	No	NA	106	24	2	Complete	High-quality	100	DTR (medium-confidence)	0	1	Vibrio	autumn	Bacillus phage BCD7	JN712910	Clustered	VC_270_0	N2	21	Bacillus	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	O	O
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__102143bp__000015||full	seasonal	1	1	102139	No	NA	142	8	8	Medium-quality	Genome-fragment	64.53	AAI-based (high-confidence)	0	1.01	Acidovorax	autumn	n.a.	n.a.	Clustered/Singleton	VC_0_3	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__18665bp__001231||full	seasonal	10	1	18628	No	NA	18	9	0	Medium-quality	Genome-fragment	58.29	AAI-based (medium-confidence)	0	1	Candidatus Pelagibacter	autumn	n.a.	n.a.	Overlap (VC_45/VC_46)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__33873bp__000359||full	seasonal	10	1	33869	No	NA	47	18	0	High-quality	High-quality	96.77	AAI-based (high-confidence)	0	1	Comamonas	autumn	Sinorhizobium phage phiM5	MF074189	Overlap (VC_31/VC_35)	n.a.	C11	9	Sinorhizobium	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	O
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__38279bp__000263||full	seasonal	10	1	38277	No	NA	62	19	0	Medium-quality	Genome-fragment	63.38	AAI-based (medium-confidence)	0	1	Vibrio	autumn		MW574966	Clustered	VC_106_0	N8	30		other						n.a.	n.a.	O	O
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__39734bp__000244||full	seasonal	10	1	39574	No	NA	50	14	1	Medium-quality	Genome-fragment	69.79	AAI-based (high-confidence)	0	1	Ralstonia	autumn	n.a.	n.a.	Clustered	VC_203_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__45768bp__000181||full	seasonal	1	1	45765	No	NA	52	19	0	Medium-quality	Genome-fragment	80.32	AAI-based (high-confidence)	0	1	Methylocaldum	autumn		MW202675	Clustered	VC_165_0	N112	2		other						n.a.	n.a.	O	O
1s	2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__55396bp__000106||full	seasonal	10	1	55393	No	NA	69	19	0	Medium-quality	Genome-fragment	88.84	AAI-based (high-confidence)	0	1	Kingella	autumn		OQ594354	Clustered	VC_175_0	N36	14		other						n.a.	n.a.	O	O
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__21857bp__000903||full	seasonal	10	1	21652	No	NA	23	6	0	Medium-quality	Genome-fragment	51.41	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__26272bp__000609||full	seasonal	1	1	26271	No	NA	26	18	0	Medium-quality	Genome-fragment	65.3	AAI-based (medium-confidence)	0	1	Candidatus Pelagibacter	autumn		KT997847	Clustered	VC_57_0	C6	34		other						n.a.	n.a.		n.a.
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33219bp__000366||full	seasonal	10	1	33217	No	NA	40	6	0	Medium-quality	Genome-fragment	53.82	AAI-based (medium-confidence)	0	1.01	Kingella	autumn	n.a.	n.a.	Clustered	VC_175_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__34200bp__000329||full	seasonal	10	1	34114	No	NA	46	11	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1.02	Candidatus Pelagibacter	autumn	Methylophilales phage MEP301	MW452941	Clustered	VC_56_0	C6	26	Methylophilales	other	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	Unclassified	Unclassified
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full	seasonal	32	1	36910	No	NA	56	21	0	Medium-quality	Genome-fragment	61.15	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn	Pelagibacter phage HTVC023P	MN698239	Clustered	VC_213_1	N14	64	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
1s	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__41772bp__000211||full	seasonal	10	1	41768	No	NA	45	16	0	Medium-quality	Genome-fragment	76.94	AAI-based (high-confidence)	0	1	ND	autumn		MZ892993	Outlier	n.a.	N14	14		other						n.a.	n.a.	O	O
1s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full	seasonal	10	1	40839	No	NA	59	19	0	Medium-quality	Genome-fragment	67.01	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn	Pelagibacter phage HTVC023P	MN698239	Clustered	VC_213_1	N13	73	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
1s	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__55503bp__000059||full	seasonal	32	1	55113	No	NA	88	28	1	High-quality	High-quality	93.74	AAI-based (high-confidence)	0	1	Caulobacter	autumn	n.a.	n.a.	Clustered	VC_180_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__113457bp__000005||full	seasonal	1	1	113455	No	NA	120	10	10	Medium-quality	Genome-fragment	64.36	AAI-based (high-confidence)	0	1.01	Methanococcus	autumn	n.a.	n.a.	Clustered	VC_0_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__18757bp__001337||full	seasonal	35	1	18756	No	NA	30	9	0	Medium-quality	Genome-fragment	64.01	AAI-based (high-confidence)	0	1	Bacteroides	autumn	n.a.	n.a.	Clustered	VC_19_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__19641bp__001213||full	seasonal	10	1	19639	No	NA	13	1	0	Medium-quality	Genome-fragment	56.9	AAI-based (high-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Clustered	VC_401_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__20892bp__001042||full	seasonal	10	1	20803	No	NA	37	9	0	Medium-quality	Genome-fragment	66.72	AAI-based (medium-confidence)	0	1	ND	autumn	Nonlabens phage P12024L	JQ823123	Clustered	VC_48_0	N65	7	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__32423bp__000399||full	seasonal	35	1	32421	No	NA	14	8	0	Medium-quality	Genome-fragment	59.34	AAI-based (medium-confidence)	0	1	Flavobacterium	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__37956bp__000262||full	seasonal	32	1	37955	No	NA	40	15	2	Medium-quality	Genome-fragment	56	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__43251bp__000180||full	seasonal	10	1	43234	No	NA	48	18	1	Medium-quality	Genome-fragment	72.22	AAI-based (high-confidence)	0	1	Caulobacter	autumn		OQ594354	Clustered	VC_201_0	N50	8		other						n.a.	n.a.	O	O
1s	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__44191bp__000169||full	seasonal	1	1	44189	No	NA	56	11	0	Medium-quality	Genome-fragment	83.98	AAI-based (high-confidence)	0	1	Roseburia	autumn	n.a.	n.a.	Clustered	VC_249_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__31654bp__000195||full	seasonal	10	1	31652	No	NA	41	10	0	Medium-quality	Genome-fragment	88.85	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn		OQ414635	Overlap (VC_55/VC_65)	n.a.	C4	29		other						n.a.	n.a.		O
1s	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__33455bp__000168||full	seasonal	10	1	33360	No	NA	42	18	0	High-quality	High-quality	92.32	AAI-based (high-confidence)	0	1	Pseudomonas	autumn	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__21911bp__000949||full	seasonal	35	1	21883	No	NA	20	6	0	Medium-quality	Genome-fragment	68.1	AAI-based (high-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_221_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full	seasonal	17	1	46656	No	NA	67	20	0	Medium-quality	Genome-fragment	75.86	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	autumn		MW574966	Clustered	VC_106_0	N10	26		other						n.a.	n.a.	O	O
1s	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47269bp__000172||full	seasonal	1	1	47267	No	NA	60	11	0	High-quality	High-quality	92.09	AAI-based (medium-confidence)	0	1	ND	autumn	n.a.	n.a.	Clustered	VC_442_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__55311bp__000046||full	seasonal	32	1	55307	No	NA	82	23	0	High-quality	High-quality	96.74	AAI-based (high-confidence)	0	1	Caulobacter	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
1s	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__52323bp__000101||full	seasonal	10	1	52319	No	NA	67	25	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	Methylocaldum	autumn	Pseudoalteromonas virus vB_PspP-H6/1	KX257490	Clustered	VC_171_0	N18	6	Pseudoalteromonas	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
1s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__29651bp__000215||full	seasonal	35	1	29487	No	NA	38	7	0	Medium-quality	Genome-fragment	54.63	AAI-based (medium-confidence)	0	1	ND	autumn		MZ892991	Outlier	n.a.	N6	35		other						n.a.	n.a.	O	O
1s	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__37038bp__000188||full	seasonal	10	1	36307	No	NA	38	10	0	Medium-quality	Genome-fragment	63.02	AAI-based (medium-confidence)	0	1	Methylocaldum	autumn	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
20ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__15308bp__001611||full	non.seasonal	21	20	15271	No	NA	16	1	1	Medium-quality	Genome-fragment	62.89	AAI-based (medium-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Clustered	VC_304_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
20ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__17238bp__001268||full	non.seasonal	21	20	17236	No	NA	26	9	0	Medium-quality	Genome-fragment	74.84	AAI-based (medium-confidence)	0	1	Prevotella	summer	n.a.	n.a.	Clustered	VC_133_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
20ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__19401bp__000973||full	non.seasonal	21	20	19269	No	NA	20	6	0	Medium-quality	Genome-fragment	58.17	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	summer		OQ414635	Clustered	VC_64_0	N47	9		other						n.a.	n.a.	O	O
20ns	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__19416bp__000972||full	non.seasonal	21	20	19180	No	NA	22	10	0	Medium-quality	Genome-fragment	52.13	AAI-based (medium-confidence)	0	1	ND	summer	Streptomyces virus TG1	JX182372	Outlier	n.a.	N1	20	Streptomyces	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
